	frame	subF	slot	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler	bwpId
UL	60	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	60	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	60	6	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
UL	60	6	0	0	13	1	1	3255	28	0	57.7085		0 	0 	1
DL	60	9	0	1	13	1	1	722	28	0	43.8489	0	0	0
DL	61	0	0	1	13	1	1	722	28	0	43.8489	0	0	0
UL	61	1	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	61	1	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	61	2	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	61	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	61	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	61	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	62	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	62	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	62	6	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	62	6	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
DL	62	9	0	1	13	1	1	722	28	0	43.8489	0	0	0
DL	63	0	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	63	1	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	63	1	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	63	2	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	63	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	63	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	64	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	64	5	0	0	13	1	1	4340	28	0	56.6049		0 	0 	1
UL	64	6	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	64	6	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
DL	64	9	0	1	13	1	1	359	28	0	46.9319	0	0	0
DL	65	0	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	65	1	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	65	1	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	65	2	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	65	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	65	9	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
DL	66	3	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	66	5	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	66	5	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
DL	66	9	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	67	1	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	67	1	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
DL	67	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	67	7	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
UL	67	7	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
DL	68	1	0	1	13	1	1	359	28	0	46.9319	0	0	0
